id,address,postcode,public_body,removal_proposal_sent,public_body_representation_made,bt_initial_decision,bt_initial_decision_date,public_body_review_requested,bt_final_decision,bt_final_decision_date,latitude,longitude,geocoded_postcode,geocoding_status
1,Great Stone Road Talbot Road Stretford Manchester,M32 0YN,Trafford District (B),16/01/2023,No,Remove,18/05/2023,No,Remove,08/06/2023,53.455625,-2.292159,M32 0YN,ok
2,Junction Elmwood Newham Way Coulby Newham Middlesbrough,TS8 0TP,Middlesbrough (B),07/02/2023,No,Remove,09/05/2023,No,Remove,30/05/2023,,,,not_found
3,Outside Late Shop Burnage Lane Manchester,M19 1NA,Manchester District (B),13/03/2023,No,Remove,03/06/2023,No,Remove,24/07/2023,53.421279,-2.211163,M19 1NA,ok
4,Junction Of Dewsbury Road Ring Road Beeston Leeds,LS11 8HD,Leeds District (B),29/04/2023,No,Remove,30/11/2023,No,Remove,21/08/2023,53.762145,-1.568275,LS11 8HD,ok
5,Junction Maritime Avenue Ensign Court Hartlepool,TS24 0XJ,Hartlepool (B),05/05/2023,No,Remove,05/08/2023,No,Remove,24/08/2023,54.686022,-1.20097,TS24 0XJ,ok
6,Queen Street Glossop,SK13 8EL,High Peak District (B),31/05/2023,No,Remove,04/09/2023,No,Remove,04/09/2023,53.442322,-1.960395,SK13 8EL,ok
7,Manchester Road Mossley Ashton-Under-Lyne,OL5 9AJ,Tameside District (B),31/05/2023,No,Remove,04/09/2023,No,Remove,04/09/2023,53.515354,-2.040964,OL5 9AJ,ok
8,Near Junction Eltham Road Abbey Road West Bridgford Nottingham,NG2 5NF,Rushcliffe District (B),07/06/2023,No,Remove,05/09/2023,No,Remove,07/09/2023,52.930171,-1.121153,NG2 5NF,ok
9,Adjacent 2 Barnard Road Chelmsford,CM2 8RR,Chelmsford District (B),19/06/2023,Yes,Remove,19/09/2023,Yes,Remove,25/09/2023,51.700272,0.475706,CM2 8RR,ok
10,Junc Derby Rd Lenton Abbey Woodside Road Beeston Nottingham,NG9 2TL,City of Nottingham (B),19/06/2023,No,Remove,18/09/2023,No,Remove,18/09/2023,52.937135,-1.215851,NG9 2TL,ok
11,Junction Gravesend Rd/Irvine Rd Irvine Road Higham Rochester,ME3 7AA,Gravesham District (B),19/06/2023,No,Remove,18/09/2023,No,Remove,18/09/2023,51.412572,0.456464,ME3 7AA,ok
12,Meadfield Road Meopham Gravesend,DA13 0PR,Gravesham District (B),19/06/2023,No,Remove,18/09/2023,No,Remove,18/09/2023,51.368167,0.360439,DA13 0PR,ok
13,Adjacent 51 Dene Holm Rd Dene Holm Road Northfleet Gravesend,DA11 8LG,Gravesham District (B),19/06/2023,No,Remove,18/09/2023,No,Remove,18/09/2023,51.42591,0.342671,DA11 8LG,ok
14,Opposite 21 Hunt Rd Coldharbour Road Northfleet Gravesend,DA11 8NT,Gravesham District (B),19/06/2023,No,Remove,18/09/2023,No,Remove,18/09/2023,51.424596,0.353493,DA11 8NT,ok
15,Outside 77 High Street Wivenhoe Colchester,CO7 9AB,Colchester District (B),20/06/2023,No,Remove,29/09/2023,No,Remove,29/09/2023,51.857628,0.959376,CO7 9AB,ok
16,Junction Of Sidcup/Thaxted Road Thaxted Road London,SE9 3PU,Greenwich London Borough,21/06/2023,No,Remove,10/10/2023,No,Remove,10/10/2023,51.433599,0.072501,SE9 3PU,ok
17,Outside 108 Edgehill Road Chislehurst,BR7 6LB,Bromley London Borough,23/06/2023,No,Remove,29/09/2023,No,Remove,29/09/2023,51.428165,0.07414,BR7 6LB,ok
18,Junction Of The Fairway Outside 2 Fairmead Bromley,BR1 2JU,Bromley London Borough,23/06/2023,No,Remove,29/09/2023,No,Remove,29/09/2023,51.393736,0.05089,BR1 2JU,ok
19,Opposite Devon House Hawthorn Grove London,SE20 8LF,Bromley London Borough,23/06/2023,No,Remove,29/09/2023,No,Remove,29/09/2023,51.412773,-0.061606,SE20 8LF,ok
20,Outside Croydon Road Beckenham,BR3 3PS,Bromley London Borough,23/06/2023,No,Remove,29/09/2023,No,Remove,29/09/2023,51.402656,-0.036801,BR3 3PS,ok
21,Outside No.Betting Shop Upper Elmers End Road Beckenham,BR3 3QP,Bromley London Borough,23/06/2023,No,Remove,29/09/2023,No,Remove,29/09/2023,51.392022,-0.037601,BR3 3QP,ok
22,Outside 24 Addington Road West Wickham,BR4 9BS,Bromley London Borough,23/06/2023,No,Remove,29/09/2023,No,Remove,29/09/2023,51.373728,0.000929,BR4 9BS,ok
23,Outside 55-59 Upton Lane London,E7 9PB,Newham London Borough,23/06/2023,No,Remove,02/10/2023,No,Remove,02/10/2023,51.543298,0.026487,E7 9PB,ok
24,Opposite Lewes Rd Sundridge Avenue Bromley,BR1 2PU,Bromley London Borough,23/06/2023,No,Remove,29/09/2023,No,Remove,29/09/2023,51.408041,0.033988,BR1 2PU,ok
25,Holmsdale Rd/Mornington Rd Mornington Avenue Bromley,BR1 2RE,Bromley London Borough,23/06/2023,No,Remove,29/09/2023,No,Remove,29/09/2023,51.398617,0.033454,BR1 2RE,ok
26,Plas Newton Newhall Road Chester,CH2 1SA,Cheshire West and Chester (B),23/06/2023,No,Remove,25/09/2023,No,Remove,29/09/2023,53.210921,-2.87472,CH2 1SA,ok
27,Outside 136 Drew Road London,E16 2DG,Newham London Borough,23/06/2023,No,Remove,02/10/2023,No,Remove,02/10/2023,51.503058,0.045465,E16 2DG,ok
28,Adjacent 21 Okehampton Crescent Welling,DA16 1DG,Bexley London Borough,23/06/2023,Yes,Remove,26/09/2023,No,Remove,26/09/2023,51.472665,0.113757,DA16 1DG,ok
29,A548 Opposite Spring St High Street Connahs Quay Deeside,CH5 4DD,Sir y Fflint - Flintshire,23/06/2023,No,Remove,29/09/2023,No,Remove,29/09/2023,53.215458,-3.047704,CH5 4DD,ok
30,Nr Park Ave Chester Road Flint,CH6 5DT,Sir y Fflint - Flintshire,23/06/2023,No,Remove,29/09/2023,No,Remove,29/09/2023,53.247011,-3.12846,CH6 5DT,ok
31,Nr Kingswood Rd St. Marys Avenue Bromley,BR2 0PR,Bromley London Borough,23/06/2023,No,Remove,29/09/2023,No,Remove,29/09/2023,51.399912,0.002085,BR2 0PR,ok
32,Opposite Bellegrove Road Welling,DA16 3RQ,Bexley London Borough,23/06/2023,Yes,Retain,26/09/2023,No,Retain,26/09/2023,51.464504,0.093482,DA16 3RQ,ok
33,Junction Of Sharnbrooke Close Park View Road Welling,DA16 1SY,Bexley London Borough,23/06/2023,Yes,Retain,26/09/2023,No,Retain,26/09/2023,51.460439,0.116013,DA16 1SY,ok
34,Nr Entrance Aldersbrook Est Aldersbrook Road London,E12 5HH,Redbridge London Borough,23/06/2023,No,Remove,29/09/2023,No,Remove,29/09/2023,51.562315,0.033912,E12 5HH,ok
35,F/Ct St Edmund Hse Hurst Pl Woolwich Road London,SE2 0AW,Bexley London Borough,23/06/2023,Yes,Remove,26/09/2023,No,Remove,26/09/2023,51.481538,0.125372,SE2 0AW,ok
36,Junction Of Erith Rd/Rutland Gate Rutland Gate Belvedere,DA17 6HH,Bexley London Borough,23/06/2023,Yes,Remove,26/09/2023,No,Remove,26/09/2023,51.483966,0.153457,DA17 6HH,ok
37,Junction Of Navestock Crescent Broadmead Road Woodford Green,IG8 0AX,Redbridge London Borough,23/06/2023,No,Remove,29/09/2023,No,Remove,29/09/2023,51.605427,0.026522,IG8 0AX,ok
38,Junction Of Nightingale Lane East Way London,E11 2DR,Redbridge London Borough,23/06/2023,No,Remove,29/09/2023,No,Remove,29/09/2023,51.581466,0.029916,E11 2DR,ok
39,Junction Of Blake Hall Rd Lake House Road London,E11 3QS,Redbridge London Borough,23/06/2023,No,Remove,20/02/2025,No,Remove,29/09/2023,51.562942,0.023176,E11 3QS,ok
40,Willersley Ave/Marlbor Pk Av Willersley Avenue Sidcup,DA15 9EG,Bexley London Borough,23/06/2023,No,Remove,26/09/2023,No,Remove,26/09/2023,51.44262,0.09674,DA15 9EG,ok
41,Outside 17 Montpelier Ave Montpelier Avenue Bexley,DA5 3AP,Bexley London Borough,23/06/2023,No,Remove,26/09/2023,No,Remove,26/09/2023,51.442215,0.1252,DA5 3AP,ok
42,Whitefoot Lane/Whitefoot Ter Whitefoot Lane Bromley,BR1 5SA,Lewisham London Borough,27/06/2023,No,Remove,29/09/2023,No,Remove,29/09/2023,51.429398,-0.009933,BR1 5SA,ok
43,Nr St.Pauls Ave Globe Wharfe Rotherhithe Street London,SE16 5SW,Southwark London Borough,29/06/2023,No,Remove,11/10/2023,No,Remove,11/10/2023,51.506357,-0.0435,SE16 5SW,ok
44,Nr Junction Of Sedgmoor Place Southampton Way London,SE5 7EU,Southwark London Borough,29/06/2023,No,Remove,11/10/2023,No,Remove,11/10/2023,51.47785,-0.0832,SE5 7EU,ok
45,Outside 355 Rotherhithe Street London,SE16 4NF,Southwark London Borough,29/06/2023,No,Remove,11/10/2023,No,Remove,11/10/2023,51.501968,-0.053183,SE16 4NF,ok
46,Outside 157-159 Lordship Lane London,SE22 8HX,Southwark London Borough,29/06/2023,No,Remove,11/10/2023,No,Remove,11/10/2023,51.456191,-0.075846,SE22 8HX,ok
47,Outside Rotherhithe Station Railway Avenue London,SE16 4LF,Southwark London Borough,29/06/2023,No,Remove,11/10/2023,No,Remove,11/10/2023,51.501596,-0.05294,SE16 4LF,ok
48,Cator Street London,SE15 6AJ,Southwark London Borough,29/06/2023,No,Remove,11/10/2023,No,Remove,11/10/2023,51.481265,-0.075381,SE15 6AJ,ok
49,Abbott Road London,E14 0NB,Tower Hamlets London Borough,30/06/2023,No,Remove,11/10/2023,No,Remove,11/10/2023,51.514499,-0.004178,E14 0NB,ok
50,Junction Of Shrublands Avenue Bramble Close Croydon,CR0 8JH,Croydon London Borough,04/07/2023,No,Remove,11/10/2023,No,Remove,11/10/2023,51.365759,-0.025507,CR0 8JH,ok
51,Junction Of Chepstow/Addiscombe Rd Chepstow Road Croydon,CR0 5JA,Croydon London Borough,04/07/2023,No,Remove,11/10/2023,No,Remove,11/10/2023,51.372715,-0.082681,CR0 5JA,ok
52,The Drive Coulsdon,CR5 2BL,Croydon London Borough,04/07/2023,No,Remove,11/10/2023,No,Remove,11/10/2023,51.326685,-0.133088,CR5 2BL,ok
53,Outside No. 100/102 Lwr Barn Rd Lower Barn Road Purley,CR8 1HR,Croydon London Borough,04/07/2023,No,Remove,11/10/2023,No,Remove,11/10/2023,51.333267,-0.098883,CR8 1HR,ok
54,Outside Woodlands/Opposite 86 Beulah Beulah Hill London,SE19 3LQ,Croydon London Borough,04/07/2023,No,Remove,11/10/2023,No,Remove,11/10/2023,51.410056,-0.087259,SE19 3LQ,ok
55,Addington Road South Croydon,CR2 8LH,Croydon London Borough,04/07/2023,No,Remove,11/10/2023,No,Remove,11/10/2023,51.344058,-0.062123,CR2 8LH,ok
56,Woodcote Pk Ave/Smitham Bott Woodcote Park Avenue Purley,CR8 3NG,Croydon London Borough,04/07/2023,No,Remove,11/10/2023,No,Remove,11/10/2023,51.338491,-0.144869,CR8 3NG,ok
57,Outside Bourne Park Opposite 133 Godstone Road Kenley,CR8 5JE,Croydon London Borough,04/07/2023,No,Remove,11/10/2023,No,Remove,11/10/2023,51.328973,-0.107472,CR8 5JE,ok
58,Junction Of Melville Ave/Coombe Rd Melville Avenue South Croydon,CR2 7HY,Croydon London Borough,04/07/2023,No,Remove,11/10/2023,No,Remove,11/10/2023,51.362237,-0.078205,CR2 7HY,ok
59,Outside Tele Exchange Brighton Road Purley,CR8 4DA,Croydon London Borough,04/07/2023,No,Remove,11/10/2023,No,Remove,11/10/2023,51.333298,-0.123114,CR8 4DA,ok
60,Junction Of Riddledown/Brighton Rd Riddlesdown Road Purley,CR8 1DG,Croydon London Borough,04/07/2023,No,Remove,11/10/2023,No,Remove,11/10/2023,51.343585,-0.104602,CR8 1DG,ok
61,Outside No.67 (Shops) Mount Street Harrogate,HG2 8DQ,Harrogate District (B),05/07/2023,No,Remove,04/10/2023,No,Remove,25/10/2023,53.979314,-1.533238,HG2 8DQ,ok
62,Outside 128 Lyham Road London,SW2 5QA,Lambeth London Borough,05/07/2023,No,Remove,03/10/2023,No,Remove,03/10/2023,51.453408,-0.127203,SW2 5QA,ok
63,Outside Mountview Flats Leigham Court Road London,SW16 2RN,Lambeth London Borough,05/07/2023,No,Remove,03/10/2023,No,Remove,03/10/2023,51.432364,-0.117014,SW16 2RN,ok
64,Opposite Slc Junction Cheviot Rd Knights Hill London,SE27 0JD,Lambeth London Borough,05/07/2023,No,Remove,03/10/2023,No,Remove,03/10/2023,51.431172,-0.104475,SE27 0JD,ok
65,Junction Of Preston Old Road Geddes Street Blackburn,BB2 5LQ,Blackburn with Darwen (B),05/07/2023,No,Remove,10/10/2023,No,Remove,10/10/2023,53.734408,-2.519381,BB2 5LQ,ok
66,Junction Of Station Rd South Station Road North Belton Great Yarmouth,NR31 9NW,Great Yarmouth District (B),06/07/2023,No,Remove,05/10/2023,No,Remove,10/05/2023,52.569821,1.654166,NR31 9NW,ok
67,Outside 8 Mallard Way Ipswich,IP2 9LS,Ipswich District (B),06/07/2023,Yes,Remove,11/10/2023,Yes,Remove,10/11/2023,52.046205,1.127971,IP2 9LS,ok
68,Commercial Road Lowestoft,NR32 2TE,Waveney District,06/07/2023,No,Remove,11/10/2023,No,Remove,11/10/2023,52.473713,1.741288,NR32 2TE,ok
69,Tower Hill Costessey Norwich,NR8 5AX,South Norfolk District,06/07/2023,No,Remove,09/10/2023,No,Remove,09/10/2023,52.661288,1.192879,NR8 5AX,ok
70,Opposite Fishermans Walk Southbourne Overcliff Drive Bournemouth,BH6 3NH,Bournemouth (B),11/07/2023,No,Remove,16/10/2023,No,Remove,16/10/2023,50.720575,-1.799027,BH6 3NH,ok
71,Opposite Junction Claremont Road Charminster Road Bournemouth,BH8 9RQ,Bournemouth (B),11/07/2023,No,Remove,16/10/2023,No,Remove,16/10/2023,50.751483,-1.860414,BH8 9RQ,ok
72,Junc Suffolk Rd Queens Road Bournemouth,BH2 6BA,Bournemouth (B),11/07/2023,No,Remove,16/10/2023,No,Remove,16/10/2023,50.721489,-1.892631,BH2 6BA,ok
73,Junction Of Wimborne Rd Cavendish Road Bournemouth,BH1 1QX,Bournemouth (B),11/07/2023,No,Remove,16/10/2023,No,Remove,16/10/2023,50.725675,-1.869925,BH1 1QX,ok
74,Nr The Ferryman Ph Warsash Road Warsash Southampton,SO31 9HX,Fareham District (B),11/07/2023,No,Remove,13/10/2023,No,Remove,13/10/2023,50.852982,-1.296856,SO31 9HX,ok
75,Outside No.2 Wilson Grove Southsea,PO5 1PD,City of Portsmouth (B),12/07/2023,No,Remove,16/10/2023,No,Remove,16/10/2023,50.789598,-1.079465,PO5 1PD,ok
76,Outside Flats At 426/444 Hawthorn Crescent Cosham Portsmouth,PO6 2TX,City of Portsmouth (B),12/07/2023,No,Remove,16/10/2023,No,Remove,16/10/2023,50.83569,-1.053934,PO6 2TX,ok
77,Outside 4 Beehive Terrace Ludlow Road Portsmouth,PO6 4AE,City of Portsmouth (B),12/07/2023,No,Remove,16/10/2023,No,Remove,16/10/2023,50.851406,-1.088604,PO6 4AE,ok
78,Junction Of Haslar Rd Nr Blake Ct South Street Gosport,PO12 1EX,Gosport District (B),12/07/2023,No,Remove,16/10/2023,No,Remove,16/10/2023,50.794087,-1.120439,PO12 1EX,ok
79,Station Road Netley Abbey Southampton,SO31 5AN,Eastleigh District (B),12/07/2023,No,Remove,16/10/2023,No,Remove,16/10/2023,50.874393,-1.343251,SO31 5AN,ok
80,Outside The Co-Op St. Johns Road Hedge End Southampton,SO30 4AA,Eastleigh District (B),12/07/2023,No,Remove,16/10/2023,No,Remove,16/10/2023,50.913234,-1.303159,SO30 4AA,ok
81,Nr No 115 Moorgreen Road West End Southampton,SO30 2HG,Eastleigh District (B),12/07/2023,No,Remove,16/10/2023,No,Remove,16/10/2023,50.933532,-1.3172,SO30 2HG,ok
82,Junction Southampton Rd Nr No. 2 Watersedge Road Portsmouth,PO6 4SE,City of Portsmouth (B),12/07/2023,No,Remove,16/10/2023,No,Remove,16/10/2023,50.847353,-1.103982,PO6 4SE,ok
83,Old Nottingham Rd Robert Street Derby,DE1 2BZ,City of Derby (B),14/07/2023,No,Remove,16/10/2023,No,Remove,16/10/2023,52.926457,-1.47019,DE1 2BZ,ok
84,Outside Old Telephone Ex Nottingham Road Spondon Derby,DE21 7NF,City of Derby (B),14/07/2023,No,Remove,16/10/2023,No,Remove,16/10/2023,52.914805,-1.408899,DE21 7NF,ok
85,Junc Vicarage Road Farneworth Road Mickleover Derby,DE3 0ER,City of Derby (B),14/07/2023,No,Remove,16/10/2023,No,Remove,16/10/2023,52.910474,-1.546458,DE3 0ER,ok
86,Junction Midway Ferrers Way Derby,DE22 2BE,City of Derby (B),14/07/2023,No,Remove,16/10/2023,No,Remove,16/10/2023,52.944384,-1.493633,DE22 2BE,ok
87,Nr Litton Dve Borrowfield Road Spondon Derby,DE21 7HD,City of Derby (B),14/07/2023,No,Remove,16/10/2023,No,Remove,16/10/2023,52.913037,-1.402335,DE21 7HD,ok
88,Layby A253 Smugglers Leap Mount Pleasant Minster Ramsgate,CT12 4AX,Thanet District,14/07/2023,No,Remove,17/10/2023,No,Remove,17/10/2023,51.344482,1.31654,CT12 4AX,ok
89,Blenheim Drive Beeston Nottingham,NG9 5ES,Broxtowe District (B),14/07/2023,No,Remove,17/10/2023,No,Remove,17/10/2023,52.919919,-1.239364,NG9 5ES,ok
90,Jctn Crescent Road Richmond Road Ramsgate,CT11 9QP,Thanet District,14/07/2023,No,Remove,17/10/2023,No,Remove,17/10/2023,51.333203,1.411328,CT11 9QP,ok
91,Junction With Westgate Bay Ave Sea Road Westgate-On-Sea,CT8 8SA,Thanet District,14/07/2023,No,Remove,17/10/2023,No,Remove,17/10/2023,51.384127,1.340395,CT8 8SA,ok
92,Ilkeston Road Stapleford Nottingham,NG9 8JJ,Broxtowe District (B),14/07/2023,No,Remove,17/10/2023,No,Remove,17/10/2023,52.94073,-1.259356,NG9 8JJ,ok
93,Junction Brielle Way High Street Blue Town Sheerness,ME12 1RN,Swale District (B),14/07/2023,Yes,Remove,17/10/2023,No,Remove,30/04/2024,51.442063,0.751226,ME12 1RN,ok
94,Grovehurst Rd Grovehurst Road Kemsley Sittingbourne,ME10 2TA,Swale District (B),14/07/2023,Yes,Remove,17/10/2023,No,Remove,17/10/2023,51.364707,0.734229,ME10 2TA,ok
95,Junction Columbia Ave Joy Lane Whitstable,CT5 4DF,Canterbury District (B),14/07/2023,No,Remove,17/10/2023,No,Remove,17/10/2023,51.348845,1.00813,CT5 4DF,ok
96,Junction Archers Court Rd Cranleigh Drive Whitfield Dover,CT16 3NL,Dover District,14/07/2023,No,Remove,05/02/2024,No,Remove,05/02/2024,51.160044,1.298825,CT16 3NL,ok
97,Junction Of Sandown Rd Godwyn Road Deal,CT14 6QR,Dover District,14/07/2023,No,Remove,05/02/2024,No,Remove,05/02/2024,51.235838,1.40181,CT14 6QR,ok
98,Outside Post Office Upper Street Kingsdown Deal,CT14 8BJ,Dover District,14/07/2023,No,Remove,05/02/2024,No,Remove,05/02/2024,51.184997,1.399939,CT14 8BJ,ok
99,Outside No 59 Muswell Hill Road London,N10 3JB,Haringey London Borough,18/07/2023,Yes,Remove,20/10/2023,No,Remove,20/10/2023,51.585479,-0.147312,N10 3JB,ok
100,Outside Finsbury House Trinity Road London,N22 8LB,Haringey London Borough,18/07/2023,Yes,Remove,20/10/2023,No,Remove,20/10/2023,51.601005,-0.113787,N22 8LB,ok
101,Outside Waitrose High Street Eastbourne,BN21 1HR,Eastbourne District (B),18/07/2023,Yes,Remove,25/10/2023,No,Remove,25/10/2023,50.772868,0.267999,BN21 1HR,ok
102,St. James Lane London,N10 3DA,Haringey London Borough,18/07/2023,Yes,Remove,20/10/2023,No,Remove,20/10/2023,51.588949,-0.143837,N10 3DA,ok
103,Jefferstone Lane St. Marys Bay Romney Marsh,TN29 0SW,Shepway District,18/07/2023,Yes,Remove,24/10/2023,Yes,Remove,29/11/2023,51.008901,0.977919,TN29 0SW,ok
104,Junction London Rd Outside No. 2 Surrenden Crescent Brighton,BN1 6WF,The City of Brighton and Hove (B),18/07/2023,No,Remove,24/10/2023,No,Remove,24/10/2023,50.852745,-0.150055,BN1 6WF,ok
105,Junction Brockham Cres Redoubt Way Dymchurch Romney Marsh,TN29 0UG,Shepway District,18/07/2023,Yes,Remove,24/10/2023,No,Remove,24/10/2023,51.047455,1.030977,TN29 0UG,ok
106,Outside 216 Preston Resort Hotel Preston Road Brighton,BN1 6UU,The City of Brighton and Hove (B),18/07/2023,No,Remove,24/10/2023,No,Remove,24/10/2023,50.846389,-0.151372,BN1 6UU,ok
107,Marine Avenue Dymchurch Romney Marsh,TN29 0TR,Shepway District,18/07/2023,Yes,Remove,24/10/2023,No,Remove,24/10/2023,51.041665,1.020826,TN29 0TR,ok
108,Outside No. 135 South Road Hailsham,BN27 3JJ,Wealden District,18/07/2023,No,Remove,20/10/2023,No,Remove,20/10/2023,50.859231,0.252534,BN27 3JJ,ok
109,Junction Frant Road Broadwater Down Tunbridge Wells,TN2 5NJ,Tunbridge Wells District (B),18/07/2023,No,Remove,23/10/2023,No,Remove,23/10/2023,51.118354,0.25797,TN2 5NJ,ok
110,Outside 374 Portland Road Hove,BN3 5SD,The City of Brighton and Hove (B),18/07/2023,No,Remove,24/10/2023,No,Remove,24/10/2023,50.834765,-0.199379,BN3 5SD,ok
111,Junction Of London Rd First Avenue Grays,RM20 3JR,Thurrock (B),18/07/2023,Yes,Remove,25/10/2023,No,Remove,25/10/2023,51.47727,0.275626,RM20 3JR,ok
112,Opposite Chapel Rd High Street Dymchurch Romney Marsh,TN29 0NL,Shepway District,18/07/2023,Yes,Remove,24/10/2023,Yes,Remove,24/11/2023,51.024921,0.996204,TN29 0NL,ok
113,Junction With Nimrod Drive Moyser Road London,SW16 6SJ,Wandsworth London Borough,20/07/2023,No,Remove,17/06/2025,No,Remove,17/06/2025,51.425368,-0.14866,SW16 6SJ,ok
114,Opposite Downs Rd(Belmont Area) Brighton Road Sutton,SM2 5SU,Sutton London Borough,20/07/2023,No,Remove,26/10/2023,No,Remove,26/10/2023,51.343848,-0.197694,SM2 5SU,ok
115,Moffat Court Gap Road London,SW19 8JB,Merton London Borough,20/07/2023,No,Remove,23/10/2023,No,Remove,23/10/2023,51.427387,-0.196855,SW19 8JB,ok
116,Belmont Rise Cheam Sutton,SM2 6EJ,Sutton London Borough,20/07/2023,No,Remove,26/10/2023,No,Remove,26/10/2023,51.352945,-0.209157,SM2 6EJ,ok
117,Junction Of Tamworth Pk Commonside East Mitcham,CR4 2QA,Merton London Borough,20/07/2023,No,Remove,23/10/2023,No,Remove,23/10/2023,51.40424,-0.161001,CR4 2QA,ok
118,Kings College Southside Common London,SW19 4TT,Merton London Borough,20/07/2023,No,Remove,23/10/2023,No,Remove,23/10/2023,51.42153,-0.226154,SW19 4TT,ok
119,Colonne Rd Junction Of Parkside Calonne Road London,SW19 5HH,Merton London Borough,20/07/2023,No,Remove,23/10/2023,No,Remove,23/10/2023,51.432434,-0.221747,SW19 5HH,ok
120,Junction Of Cannon Hill Lane Outside Post Office Martin Way London,SW20 9BU,Merton London Borough,20/07/2023,No,Remove,23/10/2023,No,Remove,23/10/2023,51.405005,-0.215752,SW20 9BU,ok
121,Junction West Rd(Malden Rushett) Leatherhead Road Chessington,KT9 2HN,Kingston upon Thames London Borough,20/07/2023,No,Remove,26/10/2023,No,Remove,26/10/2023,51.361721,-0.308346,KT9 2HN,ok
122,Junction Of Hillcross Ave/Grand Driv Grand Drive London,SW20 0JB,Merton London Borough,20/07/2023,No,Remove,23/10/2023,No,Remove,23/10/2023,51.408171,-0.230036,SW20 0JB,ok
123,Junction Of Bull Lane Bridport Road London,N18 1HA,Enfield London Borough,20/07/2023,No,Remove,23/10/2023,No,Remove,23/10/2023,51.611887,-0.072404,N18 1HA,ok
124,Outside Shropshire Hse (599) Cavendish Road London,N18 2HU,Enfield London Borough,20/07/2023,No,Remove,23/10/2023,No,Remove,23/10/2023,51.614515,-0.052894,N18 2HU,ok
125,O S 267 Cnr Grt Cambridge Rd Church Street London,N9 9JA,Enfield London Borough,20/07/2023,No,Remove,23/10/2023,No,Remove,23/10/2023,51.630588,-0.079283,N9 9JA,ok
126,Outside Ent Cannons Leisure Cent Commonside West Mitcham,CR4 4HA,Merton London Borough,20/07/2023,No,Remove,23/10/2023,No,Remove,23/10/2023,51.402971,-0.161541,CR4 4HA,ok
127,Junction Of Bramley Rd/Nonsuch Walk Nonsuch Walk Cheam Sutton,SM2 7NG,Epsom and Ewell District (B),20/07/2023,Yes,Remove,25/10/2023,No,Remove,25/10/2023,51.348001,-0.224083,SM2 7NG,ok
128,Junction Of Burney/Ferguson Avenue Burney Avenue Surbiton,KT5 8DE,Kingston upon Thames London Borough,20/07/2023,No,Remove,26/10/2023,No,Remove,26/10/2023,51.397101,-0.293659,KT5 8DE,ok
129,Junction Middle Way Stanford Way London,SW16 4HH,Merton London Borough,20/07/2023,No,Remove,23/10/2023,No,Remove,23/10/2023,51.406155,-0.138767,SW16 4HH,ok
130,On Island Opposite Rose&Crown Ph High Street Wimbledon London,SW19 5AU,Merton London Borough,20/07/2023,No,Remove,23/10/2023,No,Remove,23/10/2023,51.425169,-0.220662,SW19 5AU,ok
131,Opposite Larkswood Swimming Pool New Road London,E4 9EZ,Waltham Forest London Borough,21/07/2023,No,Remove,26/10/2023,No,Remove,26/10/2023,51.61762,-0.009164,E4 9EZ,ok
132,Junction Of Aldriche Way Bellamy Road London,E4 9NB,Waltham Forest London Borough,21/07/2023,No,Remove,26/10/2023,No,Remove,26/10/2023,51.606831,-0.008697,E4 9NB,ok
133,Church Street Brixworth Northampton,NN6 9BZ,West Northants,21/07/2023,No,Remove,20/10/2023,No,Remove,20/10/2023,52.333122,-0.904958,NN6 9BZ,ok
134,Beauchamp Road Kenilworth,CV8 1GJ,Warwick District,31/07/2023,No,Remove,31/10/2023,No,Remove,31/10/2023,52.335318,-1.582117,CV8 1GJ,ok
135,Junction Of Oakthorpe Drive Broomcroft Road Birmingham,B37 6HE,Solihull District (B),31/07/2023,No,Remove,31/10/2023,No,Remove,31/10/2023,52.491835,-1.751604,B37 6HE,ok
136,Lister Road Atherstone,CV9 3DF,North Warwickshire District (B),31/07/2023,No,Remove,31/10/2023,No,Remove,31/10/2023,52.580997,-1.540105,CV9 3DF,ok
137,Junction Cooks La/Chelmsley Road Cooks Lane Birmingham,B37 6NE,Solihull District (B),31/07/2023,No,Remove,31/10/2023,No,Remove,31/10/2023,52.484687,-1.7554,B37 6NE,ok
138,Delius Street Coventry,CV4 9PE,Coventry District (B),31/07/2023,No,Remove,31/10/2023,No,Remove,31/10/2023,52.409508,-1.585448,CV4 9PE,ok
139,Opposite No 156 Coventry Road Bedworth,CV12 8NT,Nuneaton and Bedworth District (B),31/07/2023,No,Remove,31/10/2023,No,Remove,31/10/2023,52.475099,-1.476121,CV12 8NT,ok
140,Elmdene Road Kenilworth,CV8 2BX,Warwick District,31/07/2023,No,Remove,31/10/2023,No,Remove,31/10/2023,52.34418,-1.566415,CV8 2BX,ok
141,Outside North Park Road Alwynn Walk Birmingham,B23 7YY,Birmingham District (B),01/08/2023,No,Remove,01/11/2023,No,Remove,01/11/2023,52.518157,-1.869338,B23 7YY,ok
142,Sevenoaks Rd/Charterhouse Rd Sevenoaks Road Orpington,BR6 9JH,Bromley London Borough,01/08/2023,Yes,Remove,30/10/2023,No,Remove,30/10/2023,51.371261,0.097271,BR6 9JH,ok
